campaign_id,name,brand,year,award_show,award_category,industry,extraction_timestamp,award_prestige_score,award_status_binary,award_potential_score,award_hierarchy_level,time_since_award_years,csr_presence_binary,csr_category,csr_message_prominence,csr_authenticity_score,purpose_driven_score,visual_complexity_score,edge_density,spatial_frequency,color_palette_diversity,dominant_color_hue,face_presence_binary,brand_asset_visibility,logo_size_ratio,aesthetic_score,memorability_score,distinctiveness_score,message_sentiment,message_urgency,emotional_tone_score,message_clarity,readability_score,cta_presence,headline_strength,value_proposition_clarity,emotional_words_count,innovation_level,technology_integration,creative_distinctiveness,execution_quality,originality_score,cultural_relevance_score,cultural_authenticity,localization_depth,cultural_symbol_count,trend_alignment,zeitgeist_relevance,campaign_duration_days,budget_allocated,channel_mix_diversity,targeting_precision,message_consistency,strategic_clarity,competitive_pressure,market_saturation,creative_effectiveness_score,roi_multiplier,brand_lift_percentage,engagement_rate,purchase_intent_lift,binary_success,has_gdrive_assets,gdrive_folder_id
REAL_HEAVEN_PALETTE_HEAVEN_PAL,HEAVEN PALETTE,Heaven Palette,2024,Cannes Lions,Creative,Beauty & Fashion,2025-07-11T16:13:31.816067,0.814,1,1.0,1,1,0,None,0.0,0.0,0.0,0.757,0.246,0.323,0.302,107.5,1,0.938,0.088,0.563,0.71,0.892,0.532,0.656,0.3,0.818,65.4,1,0.6,0.897,0,0.3,0.3,0.726,0.737,0.9,0.738,0.7,regional,0,0.735,0.322,61,318839.42,0.492,0.673,0.732,0.877,0.454,0.588,68.9,2.72,22.0,0.559,6.4,1,1,0AJMhu01UUQKoUk9PVA
REAL_LOST_CONVERSATIONS_Lost_Conve,Lost Conversations Materials,Lost Conversations,2025,KIDLAT,Late Bird,Social Cause,2025-07-11T16:13:31.814945,0.52,1,0.72,2,0,1,Social Justice,0.88,0.85,0.748,0.712,0.243,0.799,0.772,158.3,1,0.737,0.109,0.892,0.476,0.723,0.404,0.413,0.4,0.851,71.9,1,0.7,0.696,1,0.3,0.3,0.871,0.78,0.592,0.637,0.7,regional,0,0.702,0.687,61,203785.95,0.609,0.524,0.845,0.659,0.624,0.753,60.5,2.51,16.2,0.503,7.1,0,1,0AJMhu01UUQKoUk9PVA
REAL_MCDONALD'S_McDonald's,McDonald's HIGANTES,McDonald's,2025,KIDLAT,Regular Bird,Food & Beverage,2025-07-11T16:13:31.812720,0.56,1,0.76,2,0,0,None,0.0,0.0,0.0,0.8,0.415,0.331,0.392,42.9,0,0.813,0.079,0.863,0.648,0.664,0.564,0.668,0.3,0.66,76.7,1,0.6,0.668,0,0.3,0.3,0.548,0.776,0.847,0.8,0.85,local,1,0.509,0.327,113,33809.62,0.465,0.582,0.897,0.796,0.388,0.557,57.4,2.43,19.0,0.483,6.2,0,1,0AJMhu01UUQKoUk9PVA
REAL_BOYSEN_Boysen_The,Boysen The Art Of Time,Boysen,2025,KIDLAT,Regular Bird,Home & Garden,2025-07-11T16:13:31.814316,0.56,1,0.76,2,0,0,None,0.0,0.0,0.0,0.513,0.236,0.469,0.561,188.9,0,0.664,0.075,0.873,0.481,0.846,0.766,0.492,0.4,0.838,67.0,1,0.9,0.672,1,0.3,0.3,0.825,0.867,0.761,0.565,0.7,regional,0,0.608,0.39,165,92714.81,0.651,0.709,0.864,0.857,0.698,0.468,55.5,2.39,15.4,0.47,5.1,0,1,0AJMhu01UUQKoUk9PVA
REAL_MAARTE_FAIR_MAARTE_FAI,MAARTE FAIR: FAB FINDS,Maarte Fair,2025,KIDLAT,Dead Bird,Events & Entertainment,2025-07-11T16:13:31.815383,0.4,1,0.6,2,0,0,None,0.0,0.0,0.0,0.438,0.58,0.768,0.489,268.4,0,0.664,0.058,0.544,0.871,0.759,0.6,0.318,0.5,0.761,61.7,1,0.8,0.833,2,0.45,0.45,0.87,0.865,0.775,0.8,0.85,local,1,0.575,0.767,158,225378.57,0.678,0.781,0.643,0.828,0.746,0.626,51.3,2.28,15.7,0.442,3.2,0,1,0AJMhu01UUQKoUk9PVA
REAL_HANA_Hana_Stron,Hana Strong Hair,Hana,2025,KIDLAT,Regular Bird,Personal Care,2025-07-11T16:13:31.814395,0.56,1,0.76,2,0,0,None,0.0,0.0,0.0,0.722,0.404,0.66,0.824,129.1,0,0.643,0.066,0.665,0.701,0.779,0.407,0.439,0.4,0.747,70.6,1,0.7,0.768,1,0.45,0.45,0.594,0.651,0.652,0.561,0.7,regional,0,0.509,0.536,38,215261.79,0.77,0.889,0.804,0.787,0.563,0.455,60.3,2.51,19.8,0.502,7.7,0,1,0AJMhu01UUQKoUk9PVA
REAL_NISSAN_Nissan_For,Nissan Formula E Digital,Nissan,2025,KIDLAT,Late Bird,Automotive,2025-07-11T16:13:31.815079,0.52,1,0.72,2,0,0,None,0.0,0.0,0.0,0.861,0.217,0.599,0.764,19.7,1,0.729,0.125,0.682,0.42,0.667,0.532,0.623,0.4,0.646,65.5,0,0.8,0.669,1,0.6,0.6,0.746,0.727,0.688,0.589,0.7,regional,0,0.779,0.504,137,23240.69,0.495,0.505,0.713,0.685,0.371,0.6,60.6,2.52,17.9,0.504,5.6,0,1,0AJMhu01UUQKoUk9PVA
REAL_KIDLAT_Kidlat_Hyp,Kidlat Hypercreativity,Kidlat,2025,KIDLAT,Late Bird,Creative Services,2025-07-11T16:13:31.814867,0.52,1,0.72,2,0,0,None,0.0,0.0,0.0,0.72,0.246,0.747,0.378,346.4,1,0.68,0.064,0.707,0.719,0.605,0.699,0.541,0.3,0.88,47.6,1,0.6,0.526,0,0.45,0.45,0.715,0.678,0.564,0.689,0.7,regional,0,0.513,0.402,166,179407.98,0.475,0.555,0.838,0.561,0.494,0.408,60.8,2.52,17.7,0.505,4.8,0,1,0AJMhu01UUQKoUk9PVA
REAL_LOST_CONVERSATIONS_Lost_Conve,Lost Conversations,Lost Conversations,2024,Cannes Lions,Creative,Social Cause,2025-07-11T16:13:31.815920,0.814,1,1.0,1,1,1,Social Justice,0.88,0.85,0.748,0.862,0.451,0.375,0.426,224.0,1,0.802,0.138,0.813,0.511,0.589,0.544,0.731,0.4,0.826,44.2,1,0.6,0.631,1,0.3,0.3,0.552,0.815,0.421,0.727,0.7,regional,0,0.599,0.509,113,147414.06,0.459,0.786,0.854,0.503,0.745,0.459,73.8,2.84,23.6,0.592,8.0,1,1,0AJMhu01UUQKoUk9PVA
REAL_ANGKAS_Angkas_Ang,Angkas Angcuts,Angkas,2025,KIDLAT,Regular Bird,Transportation,2025-07-11T16:13:31.814051,0.56,1,0.76,2,0,0,None,0.0,0.0,0.0,0.64,0.606,0.304,0.438,77.7,1,0.707,0.1,0.734,0.496,0.532,0.561,0.696,0.3,0.849,60.1,1,0.6,0.548,0,0.3,0.3,0.838,0.627,0.519,0.8,0.85,local,1,0.564,0.364,59,394558.97,0.733,0.567,0.675,0.57,0.726,0.427,59.7,2.49,16.7,0.498,5.8,0,1,0AJMhu01UUQKoUk9PVA
