campaign_id,name,brand,year,award_show,award_category,industry,extraction_timestamp,award_prestige_score,award_status_binary,award_potential_score,award_hierarchy_level,time_since_award_years,csr_presence_binary,csr_category,csr_message_prominence,csr_authenticity_score,purpose_driven_score,visual_complexity_score,edge_density,spatial_frequency,color_palette_diversity,dominant_color_hue,face_presence_binary,brand_asset_visibility,logo_size_ratio,aesthetic_score,memorability_score,distinctiveness_score,message_sentiment,message_urgency,emotional_tone_score,message_clarity,readability_score,cta_presence,headline_strength,value_proposition_clarity,emotional_words_count,innovation_level,technology_integration,creative_distinctiveness,execution_quality,originality_score,cultural_relevance_score,cultural_authenticity,localization_depth,cultural_symbol_count,trend_alignment,zeitgeist_relevance,campaign_duration_days,budget_allocated,channel_mix_diversity,targeting_precision,message_consistency,strategic_clarity,competitive_pressure,market_saturation,creative_effectiveness_score,roi_multiplier,brand_lift_percentage,engagement_rate,purchase_intent_lift,binary_success,has_gdrive_assets,gdrive_folder_id,source,data_completeness,country,region,agency,sales_lift_percentage,market_share_gain,has_humor,has_emotion,creative_concept,primary_channel,channel_diversity,channel_mix,has_tech_innovation,technology_type,total_awards,has_warc_award,has_cannes_award,warc_case_id,warc_file_id
REAL_MCDONALD'S_McDonald's,McDonald's HIGANTES,McDonald's,2025,KIDLAT,Regular Bird,Food & Beverage,2025-07-11T16:13:31.812720,0.56,1,0.76,2.0,0.0,0,None,0.0,0.0,0.0,0.8,0.415,0.331,0.392,42.9,0.0,0.813,0.079,0.863,0.648,0.664,0.564,0.668,0.3,0.66,76.7,1.0,0.6,0.668,0.0,0.3,0.3,0.548,0.776,0.847,0.8,0.85,local,1.0,0.509,0.327,113.0,33809.62,0.465,0.582,0.897,0.796,0.388,0.557,57.4,2.43,19.0,0.483,6.2,0.0,1.0,0AJMhu01UUQKoUk9PVA,Real_Portfolio,extracted_features,,,,,,,,,,,,,,,,,,
REAL_ANGKAS_Angkas_Ang,Angkas Angcuts,Angkas,2025,KIDLAT,Regular Bird,Transportation,2025-07-11T16:13:31.814051,0.56,1,0.76,2.0,0.0,0,None,0.0,0.0,0.0,0.64,0.606,0.304,0.438,77.7,1.0,0.707,0.1,0.734,0.496,0.532,0.561,0.696,0.3,0.849,60.1,1.0,0.6,0.548,0.0,0.3,0.3,0.838,0.627,0.519,0.8,0.85,local,1.0,0.564,0.364,59.0,394558.97,0.733,0.567,0.675,0.57,0.726,0.427,59.7,2.49,16.7,0.498,5.8,0.0,1.0,0AJMhu01UUQKoUk9PVA,Real_Portfolio,extracted_features,,,,,,,,,,,,,,,,,,
REAL_MOVE_MOVE_#FixT,MOVE #FixThePhilippines,MOVE,2025,KIDLAT,Regular Bird,Social Cause,2025-07-11T16:13:31.814154,0.56,1,0.76,2.0,0.0,1,Social Justice,0.92,0.88,0.81,0.585,0.508,0.493,0.87,142.9,1.0,0.661,0.109,0.544,0.874,0.761,0.77,0.789,0.3,0.737,67.3,1.0,0.6,0.517,0.0,0.3,0.3,0.501,0.766,0.745,0.593,0.7,regional,0.0,0.648,0.639,91.0,226154.19,0.669,0.636,0.797,0.636,0.617,0.673,57.4,2.44,18.4,0.483,6.9,0.0,1.0,0AJMhu01UUQKoUk9PVA,Real_Portfolio,extracted_features,,,,,,,,,,,,,,,,,,
REAL_PPCRV_PPCRV_Baha,PPCRV Baha for Breakfast,PPCRV,2025,KIDLAT,Regular Bird,Social Cause,2025-07-11T16:13:31.814238,0.56,1,0.76,2.0,0.0,1,Social Justice,0.9,0.85,0.765,0.675,0.427,0.481,0.407,78.2,1.0,0.645,0.147,0.507,0.658,0.535,0.401,0.685,0.3,0.737,53.5,0.0,0.8,0.891,0.0,0.3,0.3,0.621,0.762,0.481,0.8,0.85,local,1.0,0.487,0.777,176.0,153767.38,0.557,0.894,0.711,0.617,0.473,0.65,59.7,2.49,19.1,0.498,5.5,0.0,1.0,0AJMhu01UUQKoUk9PVA,Real_Portfolio,extracted_features,,,,,,,,,,,,,,,,,,
REAL_BOYSEN_Boysen_The,Boysen The Art Of Time,Boysen,2025,KIDLAT,Regular Bird,Home & Garden,2025-07-11T16:13:31.814316,0.56,1,0.76,2.0,0.0,0,None,0.0,0.0,0.0,0.513,0.236,0.469,0.561,188.9,0.0,0.664,0.075,0.873,0.481,0.846,0.766,0.492,0.4,0.838,67.0,1.0,0.9,0.672,1.0,0.3,0.3,0.825,0.867,0.761,0.565,0.7,regional,0.0,0.608,0.39,165.0,92714.81,0.651,0.709,0.864,0.857,0.698,0.468,55.5,2.39,15.4,0.47,5.1,0.0,1.0,0AJMhu01UUQKoUk9PVA,Real_Portfolio,extracted_features,,,,,,,,,,,,,,,,,,
REAL_HANA_Hana_Stron,Hana Strong Hair,Hana,2025,KIDLAT,Regular Bird,Personal Care,2025-07-11T16:13:31.814395,0.56,1,0.76,2.0,0.0,0,None,0.0,0.0,0.0,0.722,0.404,0.66,0.824,129.1,0.0,0.643,0.066,0.665,0.701,0.779,0.407,0.439,0.4,0.747,70.6,1.0,0.7,0.768,1.0,0.45,0.45,0.594,0.651,0.652,0.561,0.7,regional,0.0,0.509,0.536,38.0,215261.79,0.77,0.889,0.804,0.787,0.563,0.455,60.3,2.51,19.8,0.502,7.7,0.0,1.0,0AJMhu01UUQKoUk9PVA,Real_Portfolio,extracted_features,,,,,,,,,,,,,,,,,,
REAL_CALLA_Calla_Baho,Calla Bahopocalypse,Calla,2025,KIDLAT,Late Bird,Beauty & Fashion,2025-07-11T16:13:31.814474,0.52,1,0.72,2.0,0.0,0,None,0.0,0.0,0.0,1.0,0.257,0.768,0.782,329.6,1.0,0.947,0.056,0.631,0.471,0.825,0.235,0.336,0.3,0.643,43.1,1.0,0.6,0.828,0.0,0.3,0.3,0.533,0.819,0.478,0.665,0.7,regional,0.0,0.799,0.643,102.0,55693.5,0.326,0.887,0.742,0.596,0.39,0.744,56.5,2.41,17.6,0.477,3.7,0.0,1.0,0AJMhu01UUQKoUk9PVA,Real_Portfolio,extracted_features,,,,,,,,,,,,,,,,,,
REAL_NISSAN_Nissan_Kic,Nissan Kicks x Formula E,Nissan,2025,KIDLAT,Late Bird,Automotive,2025-07-11T16:13:31.814551,0.52,1,0.72,2.0,0.0,0,None,0.0,0.0,0.0,0.671,0.453,0.738,0.449,56.4,0.0,0.62,0.13,0.831,0.773,0.692,0.368,0.575,0.3,0.733,54.9,1.0,0.9,0.812,0.0,0.45,0.45,0.746,0.719,0.663,0.549,0.7,regional,0.0,0.778,0.491,58.0,25599.68,0.692,0.755,0.774,0.607,0.684,0.756,58.8,2.47,18.7,0.492,3.8,0.0,1.0,0AJMhu01UUQKoUk9PVA,Real_Portfolio,extracted_features,,,,,,,,,,,,,,,,,,
REAL_PRODUCTS_OF_PEACE_Products_o,Products of Peace Materials,Products of Peace,2025,KIDLAT,Late Bird,Social Cause,2025-07-11T16:13:31.814631,0.52,1,0.72,2.0,0.0,1,Social Justice,0.95,0.9,0.855,1.0,0.767,0.591,0.505,58.3,1.0,0.664,0.071,0.767,0.691,0.789,0.293,0.657,0.4,0.663,48.3,1.0,0.8,0.74,1.0,0.3,0.3,0.673,0.734,0.865,0.62,0.7,regional,0.0,0.779,0.343,124.0,42013.55,0.734,0.665,0.829,0.755,0.43,0.592,60.0,2.5,17.5,0.5,3.7,0.0,1.0,0AJMhu01UUQKoUk9PVA,Real_Portfolio,extracted_features,,,,,,,,,,,,,,,,,,
REAL_OISHI_Oishi_Face,Oishi Face Pack,Oishi,2025,KIDLAT,Late Bird,Food & Beverage,2025-07-11T16:13:31.814712,0.52,1,0.72,2.0,0.0,0,None,0.0,0.0,0.0,0.88,0.605,0.523,0.384,174.8,0.0,0.633,0.086,0.686,0.683,0.686,0.49,0.655,0.3,0.649,74.5,1.0,0.7,0.552,0.0,0.3,0.3,0.638,0.64,0.615,0.61,0.7,regional,0.0,0.494,0.735,38.0,100472.6,0.336,0.585,0.635,0.72,0.743,0.607,53.8,2.35,17.3,0.459,4.9,0.0,1.0,0AJMhu01UUQKoUk9PVA,Real_Portfolio,extracted_features,,,,,,,,,,,,,,,,,,
